u,v,Dij
0,10,0.04308121591341479
0,14,0.041773595665811236
0,18,0.040268456375838924
0,24,0.04567741935483871
0,26,0.04725274725274725
0,27,0.05401234567901234
0,32,0.04568228706159741
0,34,0.042666666666666665
0,35,0.05479059093516925
0,47,0.034650455927051675
0,48,0.05303392259913999
0,49,0.03839143312827523
0,52,0.04621368107984443
0,83,0.037030506083583145
0,84,0.04076147816349384
0,110,0.04566544566544566
0,122,0.044444444444444446
0,143,0.042843232716650435
0,148,0.0398046398046398
0,159,0.05263157894736842
0,165,0.04054825813820674
0,169,0.04388984509466437
0,203,0.037209302325581395
0,239,0.03394383394383394
0,246,0.042947056645686786
0,255,0.05472837022132797
0,293,0.03580246913580247
0,295,0.04331728989263236
0,311,0.03725490196078431
0,318,0.04477101845522898
0,319,0.044668008048289735
0,324,0.03365253077975376
0,333,0.05844155844155844
0,341,0.04490106544901065
0,361,0.04342723004694836
0,382,0.04949698189134809
0,384,0.041801801801801805
0,388,0.04072565716401333
0,412,0.04499217527386541
0,485,0.04035087719298246
0,488,0.037949921752738654
0,523,0.03702213279678068
0,554,0.04
0,593,0.05010351966873706
0,615,0.04499217527386541
0,617,0.04035542391706775
0,633,0.045168456127360236
0,635,0.038923395445134575
0,642,0.0418622848200313
0,681,0.04788732394366197
0,734,0.04627766599597585
0,763,0.04842105263157895
0,778,0.04720496894409938
0,796,0.04346076458752515
0,803,0.03983903420523139
0,804,0.04035542391706775
0,810,0.03995433789954338
0,836,0.040068201193520885
0,853,0.04107981220657277
0,910,0.0392156862745098
0,953,0.045875251509054325
0,969,0.03621730382293763
0,975,0.05593561368209256
1,10,0.04516730550088056
1,11,0.03927648578811369
1,13,0.04032954620955418
1,15,0.04802431610942249
1,19,0.045877061469265366
1,36,0.04670734273090679
1,64,0.04439301493793393
1,67,0.06201923076923077
1,92,0.07619738751814223
1,128,0.049019607843137254
1,135,0.05889724310776942
1,148,0.053005464480874315
1,191,0.07308970099667775
1,198,0.07547169811320754
1,210,0.046462063086104004
1,213,0.05520614954577219
1,253,0.0595959595959596
1,297,0.05254901960784314
1,321,0.05101327742837177
1,337,0.05656565656565657
1,413,0.060129509713228495
1,441,0.05656565656565657
1,454,0.0545790934320074
1,484,0.06205673758865248
1,487,0.06956521739130435
1,512,0.07293868921775898
1,517,0.04816326530612245
1,524,0.05187074829931973
1,531,0.06666666666666667
1,807,0.06755260243632337
1,835,0.06342494714587738
1,848,0.04995374653098982
1,857,0.06236786469344609
1,894,0.06161616161616162
1,950,0.06533776301218161
1,982,0.07084785133565621
2,10,0.039125765535657275
2,11,0.03433842764697783
2,12,0.04459685513549682
2,14,0.037867395762132605
2,15,0.03818953323903819
2,17,0.03506346613045117
2,20,0.040106951871657755
2,21,0.038917089678511
2,24,0.044204664114166375
2,25,0.041280335402725146
2,27,0.049335629921259845
2,29,0.05006451612903226
2,32,0.03749712445364619
2,37,0.0457516339869281
2,41,0.032449825479930194
2,44,0.038113875687261205
2,49,0.03610771113831089
2,50,0.045063769485120454
2,56,0.0438352995604904
2,60,0.044886677722498616
2,68,0.03682119205298013
2,69,0.038269693842449264
2,71,0.04232662192393736
2,74,0.04150943396226415
2,76,0.04061302681992337
2,82,0.037643778319972114
2,86,0.04443967367969085
2,113,0.04356636271529889
2,115,0.04241948153967007
2,116,0.04283216783216783
2,120,0.04603640634174985
2,132,0.03842618128332414
2,134,0.039397222495814045
2,138,0.03803206191265893
2,159,0.04901587301587301
2,172,0.040958605664488015
2,186,0.04380952380952381
2,189,0.050193548387096776
2,190,0.044715447154471545
2,191,0.050550964187327824
2,197,0.04275436793422405
2,199,0.04455167770171698
2,208,0.04733805402570155
2,223,0.04078153684762654
2,225,0.04173553719008265
2,226,0.04406349206349206
2,232,0.04105944945639602
2,241,0.05032258064516129
2,249,0.045098039215686274
2,253,0.04159779614325069
2,254,0.04274849200104904
2,261,0.04311774461028192
2,276,0.041523809523809525
2,278,0.04011998500187477
2,289,0.04159328004335456
2,294,0.041103934233705224
2,310,0.04146005509641873
2,311,0.0405559352927774
2,323,0.03945977686435702
2,334,0.04078153684762654
2,359,0.03816793893129771
2,368,0.04156831890899554
2,375,0.04358256697321072
2,383,0.044257703081232495
2,388,0.04161979752530934
2,416,0.042355100970364545
2,423,0.04022038567493113
2,424,0.04038814581694204
2,472,0.044
2,479,0.04297520661157025
2,486,0.042677144018425685
2,487,0.044438422977916274
2,492,0.04592206287121541
2,495,0.03974193548387097
2,496,0.04415325452214784
2,501,0.04308359300907736
2,506,0.040383846461415435
2,526,0.04156831890899554
2,541,0.04131652661064426
2,555,0.04132231404958678
2,556,0.0392258064516129
2,560,0.04257703081232493
2,587,0.043010752688172046
2,596,0.040780382062051215
2,600,0.04296774193548387
2,604,0.04090909090909091
2,605,0.043583535108958835
2,621,0.041777777777777775
2,622,0.045115837962335724
2,625,0.043928665093102545
2,683,0.03888362010567674
2,685,0.0392156862745098
2,699,0.04256198347107438
2,704,0.04287138584247258
2,708,0.044438422977916274
2,709,0.04085180356366797
2,743,0.03988035892323031
2,750,0.045928735943639075
2,752,0.04025056644009063
2,764,0.04143126177024482
2,798,0.041720990873533245
2,811,0.04159328004335456
2,839,0.0409158650589351
2,842,0.042159236575986324
2,855,0.046556473829201105
2,861,0.04757157100128187
2,885,0.04073493804301381
2,892,0.03983200108386398
2,894,0.040562074460379544
2,909,0.03953168044077135
2,931,0.043725964962256086
2,968,0.04159663865546218
2,995,0.04131652661064426
3,10,0.04057024057024057
3,11,0.035865641186626905
3,12,0.04500881023519497
3,13,0.03851424450054093
3,14,0.043145846373960475
3,15,0.04627042386928724
3,16,0.04589601980575129
3,17,0.040740740740740744
3,19,0.041874554526015684
3,20,0.043359488520778845
3,21,0.04206689325648983
3,22,0.04480196234037948
3,23,0.04796747967479675
3,31,0.04713275726630008
3,33,0.04125382813907404
3,37,0.05172259507829978
3,43,0.037262124002455495
3,44,0.04463703289534992
3,45,0.046858762399622104
3,50,0.051096196868008946
3,54,0.04760626398210291
3,55,0.046004415011037525
3,58,0.0499359795134443
3,61,0.050080962294702755
3,62,0.050368703912010995
3,64,0.0389193136181088
3,71,0.049156539089424994
3,77,0.047123228853585226
3,79,0.04858721718277552
3,83,0.04316037735849056
3,90,0.04984964145269489
3,91,0.04973398103169095
3,94,0.04892829087644485
3,96,0.042649006622516555
3,99,0.047173689619732784
3,102,0.049297480620155036
3,104,0.04449347306490164
3,114,0.04698412698412698
3,119,0.0480747322852586
3,121,0.05001139211665528
3,133,0.0454416627302787
3,134,0.04895104895104895
3,135,0.04760174418604651
3,139,0.05195825384356413
3,142,0.050304035378662244
3,161,0.0475445730372224
3,163,0.045337223656155314
3,189,0.055992656700760556
3,191,0.05454545454545454
3,193,0.04364937388193202
3,203,0.045563549160671464
3,205,0.04568408690546095
3,215,0.04945129386262024
3,230,0.04890936187508468
3,232,0.05135322692574601
3,240,0.050387596899224806
3,241,0.05664400906304145
3,262,0.045112781954887216
3,263,0.04469476744186047
3,275,0.05557776889244302
3,293,0.045918966529653556
3,296,0.04914285714285714
3,305,0.04499723604201216
3,309,0.05051312808210049
3,314,0.05179648570679255
3,320,0.04930500917912405
3,327,0.052645608423297345
3,333,0.05009179124049305
3,336,0.051077089825226935
3,369,0.04490649606299212
3,384,0.05032258064516129
3,386,0.04758096761295482
3,409,0.05157936825269892
3,426,0.05100970364542355
3,429,0.05100970364542355
3,500,0.05179648570679255
3,503,0.0472258064516129
3,529,0.05271439811172305
3,539,0.05028011204481793
3,540,0.046143250688705235
3,555,0.051101928374655645
3,562,0.04864720778355325
3,570,0.045371098872279046
3,572,0.047660437490945964
3,581,0.05148353881587861
3,609,0.04798080767692923
3,619,0.04538680395610351
3,625,0.052778888444622155
3,655,0.050980392156862744
3,677,0.04929971988795518
3,719,0.049035812672176306
3,772,0.049850448654037885
3,774,0.045657769949871294
3,776,0.049724517906336085
3,787,0.05170203674690215
3,804,0.04758096761295482
3,811,0.051515151515151514
3,815,0.048674489352455455
3,833,0.050140056022408966
3,855,0.05412334425295542
3,861,0.05758027367565371
3,896,0.04936634246979075
3,904,0.051400560224089634
3,922,0.05126050420168067
3,928,0.049109083007388095
3,933,0.0469187675070028
3,938,0.05137741046831956
3,952,0.049449035812672175
3,961,0.04995579133510168
3,966,0.04915966386554622
3,975,0.05420168067226891
3,976,0.04939881211067652
3,982,0.05170203674690215
4,10,0.04178921568627451
4,11,0.03670869276708693
4,12,0.045342588446036725
4,13,0.03719599427753934
4,14,0.04294718539447946
4,15,0.043950639363319326
4,16,0.04601818682832736
4,17,0.04067137361011288
4,19,0.04321915900863269
4,20,0.04101057579318449
4,22,0.04717294531924789
4,23,0.04861705161106359
