Node,Alpha,HETA_NMI,LDHETA_NMI,Improvement_%
0,-10.0,0.5526,0.4791,-13.3
0,-8.0,0.5526,0.4765,-13.78
0,-6.0,0.5526,0.4756,-13.94
0,-4.0,0.5526,0.4809,-12.98
0,-2.0,0.5526,0.4836,-12.49
0,-1.5,0.5526,0.4888,-11.55
0,-1.0,0.5526,0.4931,-10.77
0,-0.5,0.5526,0.5083,-8.03
0,-0.1,0.5526,0.5494,-0.59
0,0.0,0.5526,0.5526,0.0
0,0.1,0.5526,0.5526,0.0
0,0.5,0.5526,0.5428,-1.78
0,1.0,0.5526,0.5373,-2.78
0,1.5,0.5526,0.5039,-8.82
0,2.0,0.5526,0.4057,-26.59
0,4.0,0.5526,0.3343,-39.51
0,6.0,0.5526,0.321,-41.91
0,8.0,0.5526,0.3215,-41.83
0,10.0,0.5526,0.3156,-42.89
107,-10.0,0.3193,0.286,-10.45
107,-8.0,0.3193,0.2848,-10.82
107,-6.0,0.3193,0.2862,-10.38
107,-4.0,0.3193,0.3489,9.27
107,-2.0,0.3193,0.3514,10.04
107,-1.5,0.3193,0.3445,7.88
107,-1.0,0.3193,0.3258,2.03
107,-0.5,0.3193,0.3155,-1.22
107,-0.1,0.3193,0.3182,-0.37
107,0.0,0.3193,0.3193,0.0
107,0.1,0.3193,0.3193,-0.0
107,0.5,0.3193,0.3203,0.29
107,1.0,0.3193,0.3245,1.61
107,1.5,0.3193,0.2064,-35.36
107,2.0,0.3193,0.1551,-51.43
107,4.0,0.3193,0.1329,-58.38
107,6.0,0.3193,0.1249,-60.89
107,8.0,0.3193,0.1234,-61.35
107,10.0,0.3193,0.1195,-62.58
348,-10.0,0.5038,0.5148,2.19
348,-8.0,0.5038,0.5314,5.49
348,-6.0,0.5038,0.5292,5.05
348,-4.0,0.5038,0.5316,5.53
348,-2.0,0.5038,0.5466,8.51
348,-1.5,0.5038,0.5419,7.56
348,-1.0,0.5038,0.54,7.18
348,-0.5,0.5038,0.538,6.79
348,-0.1,0.5038,0.5163,2.48
348,0.0,0.5038,0.5038,0.0
348,0.1,0.5038,0.4938,-1.98
348,0.5,0.5038,0.478,-5.11
348,1.0,0.5038,0.4432,-12.02
348,1.5,0.5038,0.4189,-16.85
348,2.0,0.5038,0.3859,-23.4
348,4.0,0.5038,0.2847,-43.48
348,6.0,0.5038,0.2586,-48.67
348,8.0,0.5038,0.2568,-49.02
348,10.0,0.5038,0.2506,-50.26
414,-10.0,0.4584,0.5401,17.82
414,-8.0,0.4584,0.5435,18.56
414,-6.0,0.4584,0.566,23.46
414,-4.0,0.4584,0.5566,21.42
414,-2.0,0.4584,0.5303,15.69
414,-1.5,0.4584,0.5164,12.65
414,-1.0,0.4584,0.5068,10.56
414,-0.5,0.4584,0.4976,8.55
414,-0.1,0.4584,0.4584,0.0
414,0.0,0.4584,0.4584,0.0
414,0.1,0.4584,0.4584,0.0
414,0.5,0.4584,0.5003,9.13
414,1.0,0.4584,0.5776,26.02
414,1.5,0.4584,0.5967,30.17
414,2.0,0.4584,0.4028,-12.14
414,4.0,0.4584,0.3545,-22.67
414,6.0,0.4584,0.3545,-22.67
414,8.0,0.4584,0.3473,-24.24
414,10.0,0.4584,0.3399,-25.85
686,-10.0,0.4996,0.29,-41.95
686,-8.0,0.4996,0.2936,-41.23
686,-6.0,0.4996,0.2936,-41.23
